년도,날짜,승패,상대,AVG_K,OPS_K,LI_K,WPA_K,HR/AB_K,SO/AB_K,ERA_K,WHIP_K,LI_K,WPA_K,SO/IP_K,AVG_R,OPS_R,LI_R,WPA_R,HR/AB_R,SO/AB_R,ERA_R,WHIP_R,LI_R,WPA_R,SO/IP_R
2018,9월 11일,0,NC,0.219,0.85,1.32,0.128,0.063,0.125,6.75,2.5,1.6,-0.628,0.625,0.367,0.892,1.64,0.628,0,0.167,7,1.78,1.3,-0.128,0.444
2018,9월 12일,0,NC,0.257,0.621,0.96,-0.018,0.029,0.143,5.19,1.27,0.7,-0.482,0.976,0.273,0.93,0.69,0.482,0.091,0.242,4,1.11,1,0.018,0.556
2018,9월 14일,1,롯데,0.409,1.048,1.16,0.457,0.023,0.159,5,1.78,1,0.043,1,0.324,0.969,1.02,-0.043,0.029,0.265,9,2.56,1.2,-0.457,0.778
2018,9월 15일,1,SK,0.323,0.867,1.77,0.27,0,0.258,2,0.78,1,0.23,0.778,0.194,0.477,1.02,-0.23,0,0.226,3.38,2.13,1.8,-0.27,1
2018,9월 16일,1,SK,0.351,1.034,2.02,0.775,0.054,0.162,4.5,1.9,1.6,-0.275,0.8,0.317,0.99,1.6,0.275,0.049,0.195,6.75,2.79,2,-0.775,0.659
2018,9월 18일,1,삼성,0.381,1.124,0.42,0.478,0.071,0.143,3,1.11,0.6,0.022,1,0.206,0.623,0.64,-0.022,0.029,0.265,16,2.44,0.4,-0.478,0.667
2018,9월 19일,0,삼성,0.342,1.01,1.09,0.65,0.079,0.158,8.31,2.19,0.9,-1.151,1.585,0.366,1.081,0.92,1.151,0.073,0.317,8,1.89,1.1,-0.65,0.667
2018,9월 20일,1,NC,0.344,0.957,1.34,0.492,0,0.156,6,1.89,1.7,0.008,1,0.286,0.819,1.74,-0.008,0.029,0.257,7.56,1.8,1.3,-0.492,0.617
2018,9월 21일,1,NC,0.286,0.718,1.58,0.754,0,0.257,4,1.33,1.3,-0.121,0.889,0.303,0.636,1.29,0.121,0,0.242,5.63,1.88,1.6,-0.754,1.125
2018,9월 22일,1,한화,0.421,1.021,0.42,0.4,0,0.132,5,0.89,0.3,0.1,0.556,0.2,0.639,0.26,-0.1,0.033,0.167,11,2.44,0.4,-0.4,0.556
2018,9월 23일,0,한화,0.314,0.876,1.25,0.162,0.029,0.229,9,2,1.4,-0.662,1,0.343,1.054,1.4,0.662,0.057,0.229,6,2,1.3,-0.162,0.889
2018,9월 25일,1,KT,0.324,0.933,0.72,0.39,0.027,0.054,5,2,1.3,0.11,0.667,0.275,0.733,1.31,-0.11,0,0.15,7,2.22,0.7,-0.39,0.222
2018,9월 26일,0,KT,0.25,0.646,0.43,-0.119,0,0.188,10.13,2.38,0.3,-0.381,0.5,0.45,1.088,0.27,0.381,0.025,0.1,2,1.33,0.4,0.119,0.667
2018,9월 27일,0,LG,0.1,0.256,0.22,-0.164,0,0.233,7.88,2,0.4,-0.336,0.75,0.355,0.905,0.37,0.336,0,0.194,1,0.56,0.2,0.164,0.778
2018,9월 28일,1,LG,0.222,0.65,1.13,0.239,0.028,0.167,2,1.11,1,0.261,0.667,0.265,0.572,1.02,-0.261,0,0.176,6,1.44,1.1,-0.239,0.667
2018,9월 29일,1,한화,0.267,0.724,0.66,0.066,0.033,0.2,3,0.67,1,0.434,1,0.125,0.395,1,-0.434,0.031,0.281,3.38,1.38,0.7,-0.066,0.75
2018,9월 30일,1,한화,0.417,0.893,1.42,0.382,0,0.139,3,1.22,1.1,0.118,0.778,0.257,0.602,1.07,-0.118,0,0.2,5.63,1.88,1.4,-0.382,0.625
2018,10월 2일,0,NC,0.231,0.739,1.85,-0.17,0.051,0.154,4.91,1.73,0.9,-0.33,0.364,0.348,0.793,0.92,0.33,0,0.087,4.09,1.36,1.8,0.17,0.545
2018,10월 3일,0,삼성,0.353,0.876,0.61,0.016,0.029,0.324,21.38,3.13,0.4,-0.516,1.5,0.455,1.302,0.37,0.516,0.045,0.273,5,1.56,0.6,-0.016,1.222
